voltage_v,current_a,temperature_c,ambient_temp_c,internal_resistance,cycle_count,battery_age_days,charge_rate_c,discharge_rate_c,time_since_charge_h,humidity_pct,battery_capacity_ah,soc_percent
3.4999,-15.065,29.71,25.47,0.06798,474,355,0.2,0.2,1.501,69.7,60,27.41
3.0193,-4.223,50.86,39.15,0.11327,1082,884,0.5,0.2,1.19,68.1,50,0.05
3.1259,18.838,23.24,21.45,0.07296,510,406,0.5,1.0,1.306,67.1,60,20.06
4.0755,7.915,29.23,29.36,0.1225,1499,1195,1.0,1.0,1.814,48.8,60,59.71
4.0046,-2.308,22.46,21.79,0.08155,699,572,1.5,2.0,2.327,51.1,100,53.41
4.0091,0.245,39.09,31.37,0.10053,975,799,0.5,1.5,2.648,63.6,50,49.78
3.4936,-4.785,31.09,27.87,0.05245,189,150,0.2,0.5,2.654,52.7,75,31.21
3.1698,11.08,31.28,26.76,0.09904,957,750,1.0,0.5,3.842,42.2,100,15.79
3.1295,12.905,44.8,37.51,0.07727,686,513,0.5,0.2,1.687,58.8,75,14.33
3.7267,8.869,27.29,22.77,0.09085,957,751,0.2,1.0,2.8,65.3,100,46.65
3.9938,-32.948,38.3,32.69,0.07127,562,437,1.5,0.2,2.822,59.8,60,46.05
4.0801,0.197,28.45,21.85,0.10671,1267,1015,1.5,0.2,0.407,75.8,75,57.7
3.3465,-2.798,32.61,28.9,0.09516,831,657,1.5,1.0,3.97,62.5,50,17.4
3.3852,14.87,22.94,18.44,0.11131,1154,936,0.5,0.5,1.304,83.8,50,23.81
3.1211,3.587,28.43,22.7,0.08149,646,504,0.2,0.5,0.192,94.6,50,12.99
3.9293,8.351,34.95,27.34,0.04784,20,14,1.0,0.5,4.166,58.0,100,53.37
3.3308,-7.429,45.14,42.52,0.09891,840,695,0.5,0.5,0.199,43.3,60,15.75
3.5771,14.091,24.74,28.81,0.06177,166,139,0.5,0.2,2.333,42.8,60,36.98
4.1147,18.507,48.28,41.24,0.10896,1297,1036,1.0,1.5,3.882,59.3,60,57.25
3.9027,-24.405,37.55,29.76,0.0711,387,297,1.0,1.5,26.245,72.0,50,38.81
3.0633,-19.443,30.5,24.9,0.08149,600,467,1.0,0.5,2.895,54.8,75,3.07
3.0098,11.437,46.12,40.31,0.06934,315,234,0.5,1.5,1.532,60.4,60,7.72
3.9449,-2.586,34.8,31.5,0.0644,13,0,1.0,0.5,2.709,52.2,50,54.67
3.663,15.431,29.36,22.86,0.05796,241,207,1.0,3.0,0.871,55.2,50,42.38
3.8644,3.627,39.32,31.76,0.09157,776,616,0.2,0.5,2.305,61.6,60,44.26
3.1882,10.393,30.83,25.66,0.12593,1369,1068,0.5,1.0,8.257,74.6,75,12.61
4.0465,-11.209,24.56,12.09,0.08679,564,486,1.0,0.5,0.585,74.0,75,57.98
3.928,5.097,35.8,35.49,0.09575,897,723,0.2,1.0,3.021,26.5,60,48.25
4.069,5.139,42.25,36.76,0.11161,1363,1062,0.5,1.0,3.879,70.2,60,52.33
3.4093,-10.333,44.18,42.7,0.04558,91,63,0.5,0.5,1.502,69.7,75,20.22
3.3308,15.025,39.02,31.38,0.12363,1390,1114,1.5,1.0,5.326,58.7,100,24.45
3.1821,-28.43,26.27,26.01,0.09946,955,798,0.5,0.2,4.359,54.9,75,2.02
4.1161,3.116,35.68,34.68,0.12454,1478,1160,0.5,1.0,2.494,69.1,60,54.99
3.2122,-19.411,37.9,34.8,0.12396,1451,1180,0.5,0.5,4.087,62.0,50,3.41
3.1432,-15.335,46.9,41.11,0.08029,508,434,2.0,2.0,7.337,56.6,50,3.81
3.2312,14.79,30.86,27.64,0.09148,775,607,2.0,1.5,3.669,92.6,50,17.16
3.9257,-16.499,29.92,26.68,0.05363,34,21,0.5,1.0,3.365,67.7,60,49.2
4.0674,-17.132,26.73,22.28,0.05728,205,143,1.5,1.0,3.885,52.0,60,54.63
3.9731,8.705,36.57,32.3,0.1104,1104,879,1.0,1.5,4.503,71.2,100,51.81
3.6759,-16.662,25.08,15.61,0.11766,1411,1128,1.0,1.0,2.064,66.6,75,32.09
4.1927,15.273,41.27,34.21,0.10609,1025,833,0.2,1.0,7.251,65.7,60,61.38
3.0826,9.669,36.73,32.7,0.09909,1021,838,0.2,1.0,10.303,73.0,75,9.92
4.0406,-11.665,43.97,32.68,0.1236,1413,1115,1.0,2.0,3.89,52.9,50,50.8
3.5133,14.706,35.58,29.11,0.08707,565,412,0.2,0.5,8.712,64.0,100,29.96
3.5461,-29.079,42.36,40.26,0.10975,1129,902,1.5,2.0,5.46,47.3,60,21.55
3.1531,7.087,40.75,34.98,0.09218,702,567,1.5,1.0,2.199,72.1,60,12.17
3.0401,-18.693,29.75,23.14,0.06819,401,325,1.0,1.0,2.741,60.3,50,2.74
3.38,-7.849,26.22,23.29,0.08693,729,576,0.2,3.0,3.377,47.8,50,20.39
3.2098,-6.881,22.81,20.96,0.05628,161,131,0.5,1.0,11.192,59.3,100,14.33
3.58,19.221,37.67,32.41,0.05175,201,191,0.2,1.0,4.177,63.5,75,40.79
3.1768,-7.519,23.92,20.0,0.10509,995,803,1.5,1.0,2.842,73.5,75,13.36
3.1655,-1.179,46.1,36.67,0.06629,269,207,1.0,2.0,0.527,78.3,60,11.86
4.0524,-6.573,45.81,38.58,0.09324,815,641,0.2,1.0,4.397,74.0,60,48.92
4.1056,-14.74,24.05,20.97,0.12086,1294,1031,1.0,0.5,3.236,68.1,60,54.54
4.1571,-15.455,32.79,26.52,0.06707,455,396,0.2,1.0,11.254,71.1,50,56.29
3.8166,4.631,36.93,28.13,0.11737,1485,1184,0.2,2.0,1.674,56.0,75,42.97
3.9252,-0.396,35.89,35.07,0.11996,1275,1019,0.2,1.0,6.348,43.6,50,46.65
4.0029,11.438,42.81,40.87,0.10045,1016,803,1.5,0.2,1.328,50.0,60,54.01
3.7907,-3.631,19.48,14.52,0.06582,295,257,1.0,1.0,0.754,60.7,60,46.65
3.3963,-3.145,30.56,25.45,0.07861,719,614,0.5,0.5,0.049,57.0,60,22.36
3.1877,11.486,30.72,25.87,0.07421,337,278,0.2,1.0,9.031,56.3,50,18.11
3.2847,-5.582,20.86,16.79,0.09726,878,704,0.5,0.5,2.352,64.1,75,16.63
4.0085,-21.594,28.14,24.12,0.10092,1076,861,1.0,0.5,1.321,74.9,75,50.94
3.8353,12.713,37.57,31.42,0.09998,791,585,0.5,1.0,2.064,64.2,50,49.03
3.547,-10.157,34.17,25.77,0.05398,216,187,0.5,0.2,4.977,52.7,60,30.81
3.0353,1.003,19.2,15.64,0.0865,763,613,0.2,0.5,1.999,41.8,60,4.91
3.3194,-9.398,62.32,50.0,0.06428,187,158,1.5,1.5,1.023,57.7,100,12.93
3.8747,-14.588,41.01,30.13,0.07472,379,288,0.5,2.0,0.368,29.3,60,45.25
3.6149,-28.481,37.88,28.89,0.06713,492,385,1.5,3.0,3.889,76.3,75,27.31
3.5226,5.087,26.08,19.22,0.10178,1064,842,0.5,2.0,14.402,61.5,60,29.21
3.3764,-50.0,41.11,30.09,0.11273,1180,964,1.5,2.0,4.029,86.5,50,8.91
3.7283,19.475,30.82,26.69,0.05807,14,3,1.0,1.5,11.741,80.1,60,44.81
4.1597,15.48,15.39,12.89,0.06014,64,92,1.5,1.5,8.415,68.3,60,66.85
4.0813,-13.643,22.86,19.44,0.0795,520,424,0.2,0.5,0.678,52.5,60,53.28
3.0366,23.824,36.35,34.36,0.1188,1367,1068,0.2,1.0,8.449,54.4,60,8.19
3.5771,30.912,48.92,43.55,0.1067,1152,919,0.5,0.5,0.004,83.4,60,35.15
3.3954,-4.1,36.84,30.94,0.08484,647,504,0.5,1.5,2.85,67.2,60,17.56
3.6127,6.165,42.43,36.82,0.13192,1495,1152,1.5,1.0,2.959,40.3,50,31.91
3.7275,2.044,31.72,26.75,0.10323,1086,900,0.5,0.5,5.191,55.0,75,44.94
3.24,22.704,32.71,27.31,0.10673,1162,943,2.0,1.5,5.643,81.2,60,19.1
3.9379,-20.889,46.94,36.73,0.08533,592,484,1.0,1.5,1.054,76.5,60,41.98
3.5701,-3.411,48.16,41.3,0.07486,391,316,1.5,0.5,8.549,66.1,50,30.07
4.1904,13.791,46.18,38.41,0.0684,418,306,0.5,1.0,0.789,80.5,100,66.75
3.0302,12.203,25.04,19.47,0.05781,288,220,0.2,2.0,13.026,41.4,75,10.85
3.2277,-0.642,27.62,27.46,0.06033,378,319,0.2,1.5,16.833,51.1,75,13.4
3.8276,20.885,29.78,30.22,0.06215,230,162,1.0,1.0,4.773,58.4,75,49.62
3.8342,3.502,37.17,25.92,0.09533,1017,762,2.0,1.5,4.184,52.5,50,44.61
3.6986,1.706,34.51,31.1,0.05648,40,27,0.2,0.2,15.492,71.2,50,37.62
4.1664,10.456,37.71,34.56,0.09397,1051,837,1.0,1.0,1.108,72.0,100,63.17
3.4984,-0.913,41.76,36.02,0.06477,134,109,0.5,0.5,4.116,67.6,50,30.43
3.5004,0.754,48.14,41.49,0.05832,200,174,2.0,0.2,2.085,44.7,100,29.2
4.0926,-11.809,32.4,25.36,0.08496,779,635,1.5,1.5,0.734,86.5,100,58.26
3.6461,44.001,27.41,17.09,0.09374,929,748,0.5,0.5,0.547,65.1,60,46.01
3.4245,-7.101,40.37,30.87,0.09848,1056,868,1.0,0.5,4.821,36.1,60,22.95
3.8627,10.939,45.64,43.07,0.11112,1071,826,1.0,1.0,1.04,41.9,60,49.95
3.7436,28.631,32.09,24.18,0.07846,502,411,1.0,1.0,3.659,48.6,60,49.92
3.3677,-20.142,37.34,33.49,0.07078,406,337,0.2,1.0,1.085,84.8,100,17.71
3.3575,9.168,38.15,33.57,0.08419,804,618,1.5,1.0,2.419,46.9,60,24.43
3.4747,0.347,31.25,29.53,0.05462,98,48,0.5,1.5,5.424,44.1,60,29.65
3.0859,26.921,27.98,28.06,0.0803,683,531,1.0,0.2,3.004,76.4,60,16.29
4.1311,-13.638,25.52,20.61,0.0731,725,566,0.2,0.2,8.207,73.4,50,56.3
3.2196,-11.284,11.88,9.75,0.09453,960,783,1.0,1.0,2.989,51.6,100,11.09
3.2326,-0.749,26.89,19.11,0.08363,612,477,1.5,1.0,0.864,67.6,50,16.95
3.7764,-7.403,29.03,24.88,0.12212,1485,1170,0.2,0.5,9.096,56.2,75,41.98
3.8691,-6.889,42.71,36.78,0.08138,642,501,1.5,1.0,2.165,69.3,60,44.97
3.8842,30.426,36.28,27.17,0.1066,1028,844,0.5,1.5,8.084,55.4,75,52.86
3.4501,1.906,24.39,23.85,0.11636,1241,993,0.5,1.5,1.058,67.9,75,25.49
4.048,-11.77,23.7,20.87,0.0849,502,398,0.2,1.0,4.044,60.4,50,53.82
3.6528,-5.85,38.8,33.25,0.07733,766,610,1.0,0.2,0.723,51.1,100,39.0
3.5263,6.073,44.8,38.87,0.06564,397,343,0.2,0.5,0.334,74.0,50,29.84
3.9725,5.061,44.82,36.51,0.09804,870,681,1.5,1.0,27.236,61.1,60,46.2
3.2923,-8.659,40.45,32.85,0.09186,794,661,0.5,1.5,0.042,74.7,75,13.58
4.0322,-24.42,21.49,16.2,0.0701,392,317,1.0,1.0,3.579,67.7,60,52.74
3.6466,-0.758,31.1,25.19,0.05728,206,161,1.0,1.5,0.054,59.4,60,39.69
4.0801,-1.164,49.57,43.58,0.10303,1038,880,0.5,2.0,3.209,77.7,100,57.88
3.2419,-9.692,37.57,36.98,0.09539,891,691,1.5,1.0,0.421,63.9,60,14.06
4.1233,19.197,20.23,15.7,0.11494,1484,1180,0.2,0.5,6.196,67.0,75,62.08
3.8255,8.619,33.3,27.56,0.09422,863,665,1.5,0.2,1.385,55.6,75,50.34
3.742,2.022,37.28,30.9,0.08451,742,612,0.5,0.2,1.688,53.1,100,44.98
3.5065,-5.411,24.13,21.9,0.11741,1264,1044,0.2,0.5,1.163,62.8,50,27.04
4.1476,25.995,10.72,9.53,0.07987,563,483,1.5,0.5,0.484,46.6,60,68.1
3.5327,-17.317,33.09,28.79,0.11078,1020,840,1.0,0.5,2.775,62.3,75,22.38
3.5983,-7.449,32.6,21.7,0.05475,95,72,1.0,1.0,2.374,63.1,75,35.45
3.9378,-6.786,24.27,21.73,0.06874,484,379,0.5,0.5,3.101,44.6,75,51.81
3.3418,4.484,33.68,25.16,0.10906,1430,1110,0.2,1.0,3.933,79.4,50,18.56
3.3498,9.913,36.68,26.93,0.05681,230,224,1.0,0.2,0.371,81.8,60,26.17
3.9304,-20.049,33.06,27.93,0.08929,748,607,1.0,0.5,2.134,80.5,50,43.18
3.1543,-10.269,23.89,20.93,0.11286,1194,945,0.5,0.2,3.591,57.5,75,13.45
3.9876,6.715,32.78,26.24,0.07397,540,458,0.5,1.5,1.561,62.7,100,58.75
3.7502,-9.977,19.53,13.94,0.1008,1059,827,1.5,0.5,0.85,54.9,75,40.38
3.6469,-6.027,32.91,30.49,0.07655,524,427,1.5,1.0,3.729,71.2,50,36.22
3.2749,2.59,8.17,5.15,0.11105,1183,942,0.5,1.5,5.069,57.5,100,18.21
3.9436,-14.699,32.04,25.68,0.1184,1266,1025,1.0,2.0,5.555,63.3,60,45.33
3.9659,4.164,43.15,35.35,0.10251,1109,885,0.5,1.0,1.576,65.6,50,48.67
3.5795,9.188,23.56,19.53,0.07514,577,432,1.5,1.0,0.417,43.7,75,34.4
3.467,0.576,38.52,33.73,0.09417,681,546,0.2,1.5,9.888,59.5,50,26.98
3.2954,21.381,44.25,37.25,0.08672,556,465,1.0,0.5,4.657,73.8,60,23.21
3.9051,10.881,6.02,1.54,0.09795,1012,809,1.0,1.5,11.861,100.0,100,46.43
3.7673,-0.614,30.89,26.79,0.08796,645,531,0.2,1.0,0.629,33.6,60,40.3
3.248,-4.821,7.73,4.99,0.10077,795,615,1.0,1.0,4.283,50.5,100,10.88
3.9534,26.321,29.74,27.05,0.10913,1051,840,0.2,0.5,0.874,51.1,100,58.33
4.0586,-9.922,40.95,27.94,0.11434,1363,1077,0.2,3.0,8.053,41.4,50,51.74
3.0711,-4.083,12.55,8.14,0.11822,1354,1098,0.5,3.0,2.932,89.4,75,0.93
3.9269,-6.147,52.49,43.4,0.10979,1371,1097,2.0,1.0,3.043,59.5,60,43.3
4.0234,5.967,40.34,30.29,0.11998,1496,1210,1.5,0.5,10.679,57.6,50,47.63
4.1898,33.827,25.66,21.21,0.11262,1254,1024,1.5,1.5,1.45,69.5,50,67.5
3.2851,3.7,45.83,39.72,0.06055,189,165,1.5,1.0,3.86,51.3,50,16.8
3.4452,-4.831,18.94,13.64,0.10894,1248,1003,0.5,1.0,0.623,71.1,75,27.83
4.1594,2.83,18.33,18.17,0.10664,1408,1106,0.5,0.2,1.805,51.4,50,58.35
3.1128,-19.693,9.95,9.6,0.12097,1400,1119,1.5,2.0,0.866,80.9,60,0.0
3.6284,-2.817,47.55,42.41,0.11894,1306,1034,0.2,0.5,0.899,62.1,50,28.83
3.6081,25.561,34.38,30.66,0.08543,632,498,2.0,0.5,4.328,80.9,50,38.64
3.7279,9.93,43.95,33.28,0.08032,627,494,1.0,0.5,1.35,69.3,100,42.45
3.397,18.465,34.7,30.41,0.09792,972,758,1.0,0.5,1.156,25.0,60,25.77
4.1111,15.2,43.44,32.59,0.11533,1282,986,0.5,0.2,6.601,41.8,60,57.46
3.3241,-10.632,32.2,28.62,0.12114,1382,1092,0.2,2.0,2.568,84.7,50,15.54
3.7796,28.68,40.9,30.17,0.08498,709,571,1.0,1.5,1.912,55.4,50,48.07
3.5951,-26.641,35.38,28.86,0.11234,1479,1156,0.5,0.2,6.753,33.5,60,21.37
3.32,4.987,29.82,23.13,0.12869,1434,1147,0.5,1.0,2.683,52.7,60,19.98
3.2266,-30.895,31.09,27.63,0.08008,648,556,0.2,0.2,6.748,54.7,75,12.6
4.1479,-25.7,36.92,30.19,0.05973,317,274,1.0,1.5,1.534,79.2,60,56.87
3.6735,14.033,38.96,28.88,0.11044,1248,1031,1.0,1.0,13.072,47.7,60,38.57
3.725,-10.37,20.74,16.18,0.11341,1257,1013,0.5,3.0,10.29,58.4,100,35.4
3.9395,18.673,21.22,17.24,0.0811,683,569,0.2,1.0,6.94,76.6,75,56.09
3.0975,-32.616,40.92,36.66,0.08045,663,515,0.5,1.5,0.957,53.1,75,0.0
3.8565,-1.328,35.4,25.54,0.11823,1397,1104,0.5,0.2,5.2,47.4,100,39.83
3.1982,-18.239,40.24,32.68,0.12656,1495,1141,0.2,2.0,6.806,65.7,75,3.75
3.8886,-4.928,28.61,19.26,0.10881,1256,1028,1.0,1.0,1.806,71.9,75,45.66
3.1696,23.225,22.16,16.21,0.10849,1136,939,1.0,0.5,0.605,59.1,100,16.75
3.999,26.877,26.37,21.25,0.06515,441,341,1.0,0.2,1.257,69.5,75,62.67
3.8172,7.694,32.49,26.22,0.08818,563,445,1.0,1.0,3.524,52.1,75,45.05
3.4631,-23.919,30.89,22.68,0.11991,1291,1017,1.0,1.5,1.16,30.5,50,23.02
3.4306,-18.1,42.61,38.35,0.11908,1409,1134,0.2,0.2,4.335,73.2,50,13.69
3.1787,2.401,38.54,29.44,0.12217,1410,1150,0.5,0.5,1.989,45.0,60,8.27
4.0849,-12.089,48.89,42.79,0.10096,1136,873,0.2,0.5,1.023,51.0,75,50.68
3.1422,9.87,29.02,31.24,0.10036,951,768,2.0,2.0,3.799,63.5,60,14.69
3.5665,25.139,16.35,8.7,0.10943,1104,877,0.5,3.0,0.307,74.6,50,37.98
3.2838,-14.74,37.63,36.45,0.08623,698,560,1.5,1.5,3.922,58.8,60,13.6
4.1956,-13.426,23.5,15.92,0.06011,112,98,1.0,0.2,14.66,52.5,75,60.83
3.703,-17.707,37.55,29.84,0.05001,1,0,1.0,2.0,4.971,82.3,50,30.33
3.1795,-3.814,27.79,21.8,0.08154,641,510,0.5,0.2,1.59,55.4,50,10.97
3.8011,0.783,51.77,45.14,0.05765,219,170,1.0,2.0,9.262,56.2,60,41.81
4.1899,0.324,47.81,39.52,0.09548,854,702,0.2,1.0,3.002,36.4,50,59.18
3.7261,13.465,25.58,22.07,0.10822,1248,1006,0.2,1.5,3.006,61.8,50,44.33
3.5489,5.895,34.36,26.98,0.07127,384,311,0.5,0.2,1.901,81.7,75,35.28
3.3519,-0.881,38.45,29.96,0.12282,1426,1115,1.5,0.5,0.214,38.2,60,16.73
3.1105,0.614,45.19,34.91,0.11437,1153,914,1.0,1.0,1.259,49.4,50,7.05
3.2739,1.283,29.92,28.23,0.10672,1076,878,1.0,0.2,6.822,59.4,60,13.27
3.6643,-0.867,26.03,19.8,0.07767,729,583,1.5,0.5,1.203,68.1,50,38.29
3.9045,-10.157,24.38,22.26,0.11863,1439,1164,1.0,1.5,2.127,64.5,60,47.19
4.0535,-18.046,29.95,27.96,0.05885,246,232,0.5,1.0,4.02,60.6,50,54.85
3.9525,2.134,43.95,37.88,0.08809,835,688,1.5,0.5,1.327,50.1,60,48.78
3.1506,-7.49,36.66,31.42,0.12793,1462,1171,0.5,0.2,6.682,80.5,50,6.71
3.9282,7.877,30.25,21.81,0.04908,202,151,0.2,0.5,9.159,28.4,100,51.46
3.6979,1.08,37.15,33.19,0.11747,1207,914,0.2,1.5,0.255,77.1,50,34.12
3.5629,0.224,29.5,24.9,0.06109,122,94,1.0,0.5,3.419,90.4,100,34.23
3.6873,14.767,40.76,35.12,0.07093,400,313,1.5,0.5,1.72,71.1,60,38.09
3.0097,-21.069,50.63,48.22,0.09005,766,620,1.0,0.2,3.233,51.1,50,0.0
3.0813,26.539,27.96,25.13,0.06503,293,231,0.5,1.0,3.166,64.3,100,21.02
3.631,-32.775,42.76,34.41,0.06474,279,216,1.0,1.0,0.04,42.6,60,27.49
3.2083,21.762,25.39,22.04,0.09978,883,670,1.0,1.0,4.182,45.7,50,21.77
3.6546,3.013,35.65,27.1,0.05873,197,138,1.0,1.5,0.973,68.1,60,36.94
3.4251,-7.861,35.06,28.24,0.10205,981,794,0.5,2.0,3.276,68.7,60,20.84
4.0889,-22.075,26.81,26.45,0.08319,751,635,0.5,1.5,9.03,65.5,75,52.58
4.1396,-8.992,54.3,47.7,0.05981,143,112,0.2,1.0,0.854,42.1,100,56.91
4.1757,-2.455,32.11,25.55,0.07904,608,492,1.0,2.0,1.26,95.3,50,63.32
4.0787,2.924,38.96,32.69,0.11334,1224,998,1.0,0.5,0.263,68.6,50,55.42
4.1831,21.684,17.13,12.56,0.10303,1147,901,1.0,1.0,2.707,58.2,100,67.22
3.8474,1.101,33.64,31.46,0.06155,186,156,0.5,1.0,8.164,61.2,50,47.06
4.1527,4.795,46.18,37.14,0.11722,1349,1064,0.5,1.5,3.148,50.9,50,59.43
3.7702,5.252,28.47,23.78,0.08097,463,387,1.0,1.0,1.738,47.1,100,46.1
3.9711,-4.913,10.27,7.92,0.11989,1372,1100,0.5,1.0,9.45,97.1,75,51.63
3.1583,-2.883,34.06,27.69,0.08542,659,533,1.0,1.0,3.039,47.3,60,12.35
3.8191,-1.604,30.91,28.14,0.08594,763,594,1.5,0.2,14.553,50.1,50,42.75
4.1173,9.397,35.95,33.79,0.09926,954,777,0.5,2.0,5.549,55.0,60,60.22
3.6481,-13.694,47.96,44.09,0.07247,402,363,0.2,2.0,9.691,49.3,60,34.19
3.2242,-7.599,27.96,24.96,0.11668,1369,1075,1.5,1.5,4.18,60.2,50,11.59
3.6323,5.345,23.41,21.15,0.05514,146,110,0.5,0.5,18.172,53.6,50,36.56
3.8483,-16.147,26.08,18.66,0.10452,1171,941,2.0,0.5,2.981,58.1,60,39.93
3.9237,1.705,34.24,29.58,0.09277,863,706,1.5,0.2,4.093,55.2,60,50.05
3.6284,-8.185,40.59,31.83,0.07113,488,379,0.5,0.2,0.576,56.5,100,35.96
3.2608,7.579,26.07,23.63,0.09786,928,685,1.0,1.0,11.041,36.9,75,21.6
4.112,20.607,34.05,34.23,0.07355,550,467,0.5,0.2,1.632,55.3,100,66.14
3.9283,-8.169,37.17,31.72,0.06624,337,284,0.2,0.2,4.375,58.1,75,49.73
3.3248,11.366,38.91,28.35,0.08882,871,661,1.0,0.5,1.788,55.9,60,20.84
3.9742,3.009,27.37,20.78,0.08772,640,499,0.5,0.5,8.658,56.1,75,55.12
3.4174,-5.757,38.79,24.15,0.07372,472,408,2.0,1.0,0.468,73.8,60,24.87
3.3749,0.099,14.56,8.56,0.05758,150,148,1.0,0.5,9.27,52.3,60,22.05
4.0357,19.469,35.59,29.89,0.12488,1438,1169,1.0,2.0,3.931,75.2,60,57.07
4.0479,-2.577,26.74,28.21,0.12493,1321,1053,0.2,3.0,12.54,90.2,75,53.45
3.4782,19.637,35.79,29.51,0.06351,262,211,1.0,0.2,2.801,50.3,60,34.22
3.0107,-1.799,37.54,32.03,0.0497,143,111,0.2,3.0,2.719,65.6,75,7.95
3.2239,-21.186,34.86,31.09,0.07316,345,298,1.0,0.5,1.777,63.6,50,13.68
4.0912,-2.201,31.71,27.12,0.07436,623,480,1.5,0.5,1.596,60.8,60,55.7
4.0785,-22.355,33.19,28.39,0.09832,1016,796,0.5,1.5,0.527,35.7,75,54.07
3.544,-4.766,21.23,16.77,0.09996,880,724,0.5,1.0,1.586,73.3,75,28.77
3.3649,-5.342,34.6,23.33,0.04837,1,0,0.5,0.2,3.757,54.4,100,25.65
3.3633,27.253,32.29,28.4,0.09194,896,744,1.5,1.5,0.353,77.4,60,28.96
4.0766,24.141,27.62,22.11,0.11776,1327,1048,1.0,1.0,0.823,59.8,60,61.08
3.3897,1.281,38.67,34.88,0.0627,253,201,1.0,3.0,7.863,77.0,60,26.54
3.6139,18.17,30.08,22.73,0.06913,452,343,1.0,2.0,0.383,67.7,75,40.34
3.8772,-5.966,35.26,29.73,0.10739,1060,848,1.5,3.0,1.105,71.5,60,46.79
3.2514,-21.409,33.09,28.93,0.11529,1183,916,0.2,1.0,0.015,69.4,100,11.57
3.3046,7.917,33.19,33.97,0.10764,1014,801,1.5,1.5,5.075,57.9,60,16.07
3.4297,5.421,40.94,35.21,0.05316,8,0,1.5,3.0,7.611,54.6,75,27.38
3.7851,-14.063,37.62,33.55,0.10929,1256,1018,0.5,0.2,8.466,66.7,75,37.96
3.981,-13.4,15.97,11.15,0.09982,1122,911,0.5,1.5,9.218,70.5,60,46.31
3.656,14.094,39.01,37.55,0.07917,815,617,1.5,0.2,2.068,59.9,50,36.55
